,freq_center,freq_center_err,E,D,detect_red_first,data_indices,start_time,end_time
56,139618.7998861586,18.269208092475,True,False,True,"[861965, 861966, 861967, 861968]",1720499090.390945,1720499098.054028
57,139645.8410221505,18.07919642686124,True,True,True,"[861965, 861966, 861967, 861968]",1720499090.390945,1720499098.054028
58,139421.92966138019,18.757885704391256,False,True,True,"[861969, 861970, 861971, 861972]",1720499098.0600448,1720499105.716246
59,139423.28090234098,18.208469939710888,False,False,True,"[861969, 861970, 861971, 861972]",1720499098.0600448,1720499105.716246
60,139532.83342988373,15.372064026884612,True,False,True,"[861973, 861974, 861975, 861976]",1720499105.7552204,1720499113.443355
61,139531.31029355235,14.946790931772645,True,True,True,"[861973, 861974, 861975, 861976]",1720499105.7552204,1720499113.443355
62,139560.29694980892,17.019248902117173,False,True,True,"[861977, 861978, 861979, 861980]",1720499113.448537,1720499121.158187
63,139568.43306021378,16.5316381001449,False,False,True,"[861977, 861978, 861979, 861980]",1720499113.448537,1720499121.158187
64,139556.89542540716,16.596582352290792,True,False,True,"[861981, 861982, 861983, 861984]",1720499121.1634192,1720499128.852645
65,139548.0876686065,16.3066047266068,True,True,True,"[861981, 861982, 861983, 861984]",1720499121.1634192,1720499128.852645
66,139544.61857338052,20.092744571112693,False,True,True,"[861985, 861986, 861987, 861988]",1720499128.8577418,1720499136.55301
67,139564.6712358672,20.043395545610863,False,False,True,"[861985, 861986, 861987, 861988]",1720499128.8577418,1720499136.55301
68,139505.84575310437,19.049594202982398,True,False,True,"[861989, 861990, 861991, 861992]",1720499136.5969417,1720499144.242822
69,139543.28806724394,18.534942512704415,True,True,True,"[861989, 861990, 861991, 861992]",1720499136.5969417,1720499144.242822
70,139417.43424993372,14.701375095531821,False,True,True,"[861993, 861994, 861995, 861996]",1720499144.2481444,1720499151.912778
71,139394.61000002536,14.612758820895554,False,False,True,"[861993, 861994, 861995, 861996]",1720499144.2481444,1720499151.912778
72,139487.95581717187,20.04970713089873,True,False,True,"[861997, 861998, 861999, 862000]",1720499151.951126,1720499159.620048
73,139502.19337913865,19.634925159570173,True,True,True,"[861997, 861998, 861999, 862000]",1720499151.951126,1720499159.620048
74,139418.34052424523,19.485104177736073,False,True,True,"[862001, 862002, 862003, 862004]",1720499159.6256943,1720499167.302846
75,139418.16992678502,19.2436316645529,False,False,True,"[862001, 862002, 862003, 862004]",1720499159.6256943,1720499167.302846
76,139449.60067514083,16.327430962591933,True,False,True,"[862005, 862006, 862007, 862008]",1720499167.3081474,1720499174.973591
77,139445.81503728378,16.58901856456086,True,True,True,"[862005, 862006, 862007, 862008]",1720499167.3081474,1720499174.973591
78,139442.48350372745,16.084470914793503,False,True,True,"[862009, 862010, 862011, 862012]",1720499174.9787595,1720499182.683841
79,139445.91581233853,15.945453861161871,False,False,True,"[862009, 862010, 862011, 862012]",1720499174.9787595,1720499182.683841
80,139364.2392455788,13.783061789212308,True,False,True,"[862013, 862014, 862015, 862016]",1720499182.6890233,1720499190.327915
81,139382.59744953783,13.658380211387247,True,True,True,"[862013, 862014, 862015, 862016]",1720499182.6890233,1720499190.327915
82,139598.943389206,20.656590624061607,False,True,True,"[862017, 862018, 862019, 862020]",1720499190.333344,1720499198.043008
83,139639.3262238667,20.543944769690494,False,False,True,"[862017, 862018, 862019, 862020]",1720499190.333344,1720499198.043008
84,139453.1887837779,17.29810739954307,True,False,True,"[862021, 862022, 862023, 862024]",1720499198.0482206,1720499205.719643
85,139475.27710158122,16.988709243160145,True,True,True,"[862021, 862022, 862023, 862024]",1720499198.0482206,1720499205.719643
86,139371.82903553388,17.96713560835451,False,True,True,"[862025, 862026, 862027, 862028]",1720499205.7247005,1720499213.397433
87,139371.39123271778,17.427962611746562,False,False,True,"[862025, 862026, 862027, 862028]",1720499205.7247005,1720499213.397433
88,139661.8689632967,16.080161607237123,True,False,True,"[862029, 862030, 862031, 862032]",1720499213.4028292,1720499221.069573
89,139653.9067328779,15.556603951762531,True,True,True,"[862029, 862030, 862031, 862032]",1720499213.4028292,1720499221.069573
90,139485.96204188347,17.30827346734052,False,True,True,"[862033, 862034, 862035, 862036]",1720499221.0747495,1720499228.710354
91,139460.4081800786,16.617200886955466,False,False,True,"[862033, 862034, 862035, 862036]",1720499221.0747495,1720499228.710354
92,139426.44209594897,16.712675885112038,True,False,True,"[862037, 862038, 862039, 862040]",1720499228.7156262,1720499236.412439
93,139434.34577962587,16.54592665750313,True,True,True,"[862037, 862038, 862039, 862040]",1720499228.7156262,1720499236.412439
94,139309.0741602206,17.11429626303485,False,True,True,"[862041, 862042, 862043, 862044]",1720499236.4176612,1720499244.074698
95,139344.8501321497,16.364879891916303,False,False,True,"[862041, 862042, 862043, 862044]",1720499236.4176612,1720499244.074698
96,139350.3711502761,19.33826509791582,True,False,True,"[862045, 862046, 862047, 862048]",1720499244.0799372,1720499251.782879
97,139358.01067695123,18.860963106278124,True,True,True,"[862045, 862046, 862047, 862048]",1720499244.0799372,1720499251.782879
98,139479.7954529351,15.120527384624431,False,True,True,"[862049, 862050, 862051, 862052]",1720499251.7879448,1720499259.447155
99,139458.35898474616,14.803399176707451,False,False,True,"[862049, 862050, 862051, 862052]",1720499251.7879448,1720499259.447155
100,139426.3840425014,13.32528049045987,True,False,True,"[862053, 862054, 862055, 862056]",1720499259.4523816,1720499267.149229
101,139434.9962123972,12.980387218544902,True,True,True,"[862053, 862054, 862055, 862056]",1720499259.4523816,1720499267.149229
102,139429.7597048525,17.759184895194654,False,True,True,"[862057, 862058, 862059, 862060]",1720499267.1544561,1720499274.864663
103,139458.11187243997,17.277354105357542,False,False,True,"[862057, 862058, 862059, 862060]",1720499267.1544561,1720499274.864663
104,139608.11757658832,18.129885298076413,True,False,True,"[862061, 862062, 862063, 862064]",1720499274.870615,1720499282.542897
105,139603.64954092947,17.8621549960095,True,True,True,"[862061, 862062, 862063, 862064]",1720499274.870615,1720499282.542897
106,139504.56581799898,12.973278423295971,False,True,True,"[862065, 862066, 862067, 862068]",1720499282.5829136,1720499290.253625
107,139513.38953512663,12.893872493848773,False,False,True,"[862065, 862066, 862067, 862068]",1720499282.5829136,1720499290.253625
108,139510.1795397006,13.994610730413331,True,False,True,"[862069, 862070, 862071, 862072]",1720499290.2588875,1720499297.928757
109,139518.3745846592,13.959606218638767,True,True,True,"[862069, 862070, 862071, 862072]",1720499290.2588875,1720499297.928757
110,139504.06471344017,18.285867840833635,False,True,True,"[862073, 862074, 862075, 862076]",1720499297.9340434,1720499305.64585
111,139503.52306325643,17.60512139002454,False,False,True,"[862073, 862074, 862075, 862076]",1720499297.9340434,1720499305.64585
112,139371.06487602618,17.305931572025194,True,False,True,"[862077, 862078, 862079, 862080]",1720499305.6512525,1720499313.3449
113,139390.19701446817,17.686543072868663,True,True,True,"[862077, 862078, 862079, 862080]",1720499305.6512525,1720499313.3449
114,139499.76687618304,16.335556566421314,False,True,True,"[862081, 862082, 862083, 862084]",1720499313.3504138,1720499321.021997
115,139498.3831938973,15.598146123417104,False,False,True,"[862081, 862082, 862083, 862084]",1720499313.3504138,1720499321.021997
116,139534.26130657987,16.017767472826264,True,False,True,"[862085, 862086, 862087, 862088]",1720499321.0278606,1720499328.766775
117,139530.9629827841,15.458109859021896,True,True,True,"[862085, 862086, 862087, 862088]",1720499321.0278606,1720499328.766775
118,139475.8458566525,18.99018335217222,False,True,True,"[862089, 862090, 862091, 862092]",1720499328.7718866,1720499336.445121
119,139463.80616374483,18.03363696963999,False,False,True,"[862089, 862090, 862091, 862092]",1720499328.7718866,1720499336.445121
120,139456.18812621044,11.099373356278617,True,False,True,"[862093, 862094, 862095, 862096]",1720499336.483426,1720499344.149017
121,139454.75377776785,11.016031441705781,True,True,True,"[862093, 862094, 862095, 862096]",1720499336.483426,1720499344.149017
122,139638.48282326313,20.184623614177593,False,True,True,"[862097, 862098, 862099, 862100]",1720499344.154272,1720499351.855869
123,139658.54406431277,20.21220478391162,False,False,True,"[862097, 862098, 862099, 862100]",1720499344.154272,1720499351.855869
124,139470.05106364787,19.286330571181008,True,False,True,"[862101, 862102, 862103, 862104]",1720499351.8611689,1720499359.508088
125,139483.3528262797,19.00330635458979,True,True,True,"[862101, 862102, 862103, 862104]",1720499351.8611689,1720499359.508088
126,139557.65823796586,13.018892521641453,False,True,True,"[862105, 862106, 862107, 862108]",1720499359.5132325,1720499367.212228
127,139550.5884852836,12.638530683875679,False,False,True,"[862105, 862106, 862107, 862108]",1720499359.5132325,1720499367.212228
128,139608.42732379906,16.777262260760246,True,False,True,"[862109, 862110, 862111, 862112]",1720499367.2175877,1720499374.909609
129,139648.3726742917,16.685545101381106,True,True,True,"[862109, 862110, 862111, 862112]",1720499367.2175877,1720499374.909609
130,139375.56823068537,19.367822033659085,False,True,True,"[862113, 862114, 862115, 862116]",1720499374.9148145,1720499382.640327
131,139369.35741228392,18.674554037683915,False,False,True,"[862113, 862114, 862115, 862116]",1720499374.9148145,1720499382.640327
132,139476.18534627682,15.678501137013493,True,False,True,"[862117, 862118, 862119, 862120]",1720499382.6455016,1720499390.296999
133,139491.10618346083,15.537511263636448,True,True,True,"[862117, 862118, 862119, 862120]",1720499382.6455016,1720499390.296999
134,139651.67407297392,13.331605186651228,False,True,True,"[862121, 862122, 862123, 862124]",1720499390.3394256,1720499398.041655
135,139645.4476669172,13.127893142752106,False,False,True,"[862121, 862122, 862123, 862124]",1720499390.3394256,1720499398.041655
136,139478.40994261994,19.333013153535855,True,False,True,"[862125, 862126, 862127, 862128]",1720499398.046983,1720499405.696368
137,139491.9390804077,18.501010845215895,True,True,True,"[862125, 862126, 862127, 862128]",1720499398.046983,1720499405.696368
138,139647.48943427886,12.850688494244055,False,True,True,"[862129, 862130, 862131, 862132]",1720499405.7352057,1720499413.410214
139,139668.92031417042,12.684580214110685,False,False,True,"[862129, 862130, 862131, 862132]",1720499405.7352057,1720499413.410214
140,139576.4480746099,16.417680633535404,True,False,True,"[862133, 862134, 862135, 862136]",1720499413.4157846,1720499421.104921
141,139568.17139689464,16.436288495926366,True,True,True,"[862133, 862134, 862135, 862136]",1720499413.4157846,1720499421.104921
142,139526.21210642075,18.207746669286557,False,True,True,"[862137, 862138, 862139, 862140]",1720499421.1100116,1720499428.813319
143,139549.2950572675,17.877001405861247,False,False,True,"[862137, 862138, 862139, 862140]",1720499421.1100116,1720499428.813319
144,139588.28188442995,16.17784981298447,True,False,True,"[862141, 862142, 862143, 862144]",1720499428.818697,1720499436.516464
145,139643.08431552566,15.866308523166834,True,True,True,"[862141, 862142, 862143, 862144]",1720499428.818697,1720499436.516464
146,139551.5495102143,19.99836230889981,False,True,True,"[862145, 862146, 862147, 862148]",1720499436.5215333,1720499444.225203
147,139564.97192275463,19.523153216647636,False,False,True,"[862145, 862146, 862147, 862148]",1720499436.5215333,1720499444.225203
148,139490.58393602213,15.101247266850114,True,False,True,"[862149, 862150, 862151, 862152]",1720499444.230535,1720499451.893704
149,139471.55887041189,14.409055186102972,True,True,True,"[862149, 862150, 862151, 862152]",1720499444.230535,1720499451.893704
150,139482.48122869752,17.136472462236938,False,True,True,"[862153, 862154, 862155, 862156]",1720499451.8988125,1720499459.571869
151,139498.3472266636,16.9779504701843,False,False,True,"[862153, 862154, 862155, 862156]",1720499451.8988125,1720499459.571869
152,139475.5372170214,16.746378254290043,True,False,True,"[862157, 862158, 862159, 862160]",1720499459.6119993,1720499467.258346
153,139485.2735041678,16.600016162422307,True,True,True,"[862157, 862158, 862159, 862160]",1720499459.6119993,1720499467.258346
